ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202096_s_at	9.78e-03	1.11e-03	-3.49518	-1.244159	-0.7790948	TSPO	translocator protein
211824_x_at	9.78e-03	1.11e-03	-3.494774	-1.245267	-0.974499	NLRP1	NLR family pyrin domain containing 1
201621_at	9.80e-03	1.11e-03	3.494035	-1.247285	0.9017378	NBL1	neuroblastoma 1, DAN family BMP antagonist
201014_s_at	9.80e-03	1.11e-03	3.493761	-1.248033	1.0444122	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
204003_s_at	9.80e-03	1.11e-03	3.493695	-1.248213	0.7169691	NUPL2	nucleoporin like 2
202973_x_at	9.82e-03	1.11e-03	3.492965	-1.250207	0.9876562	FAM13A	family with sequence similarity 13 member A
214906_x_at	9.84e-03	1.12e-03	3.49221	-1.252267	0.4601268	N4BP2L1	NEDD4 binding protein 2 like 1
203694_s_at	9.84e-03	1.12e-03	3.491842	-1.25327	0.4187744	DHX16	DEAH-box helicase 16
49679_s_at	9.84e-03	1.12e-03	-3.491753	-1.253515	-0.3203928	MMP24-AS1	MMP24 antisense RNA 1
207697_x_at	9.87e-03	1.12e-03	-3.49047	-1.257015	-1.3749496	LILRB2	leukocyte immunoglobulin like receptor B2
214570_x_at	9.89e-03	1.12e-03	-3.48996	-1.258408	-0.1750407	LOC102725315///LOC102725072///LOC727983///POM121L10P///POM121L4P///POM121L8P///POM121L9P///POM121L1P	putative POM121-like protein 1-like///uncharacterized LOC102725072///putative POM121-like protein 1-like///POM121 transmembrane nucleoporin like 10, pseudogene///POM121 transmembrane nucleoporin like 4, pseudogene///POM121 transmembrane nucleoporin like 8, pseudogene///POM121 transmembrane nucleoporin like 9, pseudogene///POM121 transmembrane nucleoporin like 1, pseudogene
212694_s_at	9.90e-03	1.12e-03	3.489494	-1.259677	0.8910033	PCCB	propionyl-CoA carboxylase beta subunit
212672_at	9.90e-03	1.12e-03	-3.489347	-1.26008	-0.6814228	ATM	ATM serine/threonine kinase
218709_s_at	9.90e-03	1.13e-03	3.489189	-1.26051	0.3357685	IFT52	intraflagellar transport 52
206385_s_at	9.93e-03	1.13e-03	3.487838	-1.264196	0.5311187	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
212497_at	9.93e-03	1.13e-03	-3.487724	-1.264506	-0.6719581	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like
211710_x_at	9.93e-03	1.13e-03	3.48769	-1.2646	0.3038587	SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4	small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4
203801_at	9.99e-03	1.14e-03	3.4853	-1.271116	0.6257309	MRPS14	mitochondrial ribosomal protein S14
206420_at	1.00e-02	1.14e-03	-3.483731	-1.275394	-1.2298721	IGSF6	immunoglobulin superfamily member 6
218826_at	1.01e-02	1.15e-03	3.482323	-1.279232	0.79336	SLC35F2	solute carrier family 35 member F2
205026_at	1.01e-02	1.15e-03	3.481822	-1.280597	0.7401495	STAT5B	signal transducer and activator of transcription 5B
204466_s_at	1.01e-02	1.15e-03	3.481622	-1.281142	1.5549567	SNCA	synuclein alpha
204812_at	1.01e-02	1.15e-03	3.481001	-1.282833	0.4893627	ZW10	zw10 kinetochore protein
202252_at	1.01e-02	1.15e-03	3.480748	-1.283524	0.9373324	RAB13	RAB13, member RAS oncogene family
212397_at	1.01e-02	1.15e-03	3.480495	-1.284213	1.0083207	RDX	radixin
221775_x_at	1.01e-02	1.15e-03	3.480305	-1.284729	0.2647715	RPL22	ribosomal protein L22
213173_at	1.01e-02	1.16e-03	-3.480122	-1.285228	-0.348261	PCNX1	pecanex homolog 1 (Drosophila)
213377_x_at	1.01e-02	1.16e-03	3.479703	-1.286369	0.2864029	RPS12	ribosomal protein S12
208907_s_at	1.02e-02	1.16e-03	3.478332	-1.290103	0.6320175	MRPS18B	mitochondrial ribosomal protein S18B
215779_s_at	1.02e-02	1.16e-03	3.47799	-1.291036	1.8275635	HIST1H2BJ///HIST1H2BG	histone cluster 1, H2bj///histone cluster 1, H2bg
206102_at	1.02e-02	1.16e-03	3.477498	-1.292374	1.3941749	GINS1	GINS complex subunit 1
218511_s_at	1.02e-02	1.17e-03	3.476568	-1.294908	0.3087388	PNPO	pyridoxamine 5'-phosphate oxidase
212181_s_at	1.02e-02	1.17e-03	3.476405	-1.29535	0.6887707	NUDT4P1///NUDT4P2///NUDT4	nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4
208594_x_at	1.02e-02	1.17e-03	-3.476008	-1.296432	-1.0340638	LILRA6	leukocyte immunoglobulin like receptor A6
209005_at	1.02e-02	1.17e-03	-3.475767	-1.297087	-0.7409305	FBXL5	F-box and leucine rich repeat protein 5
209625_at	1.02e-02	1.17e-03	3.475371	-1.298165	0.7632472	PIGH	phosphatidylinositol glycan anchor biosynthesis class H
204671_s_at	1.02e-02	1.17e-03	3.475148	-1.298773	0.6486712	ANKRD6	ankyrin repeat domain 6
200680_x_at	1.02e-02	1.17e-03	3.475131	-1.298818	0.3594211	HMGB1	high mobility group box 1
205248_at	1.02e-02	1.17e-03	-3.474807	-1.299702	-0.4836677	DOPEY2	dopey family member 2
209307_at	1.02e-02	1.18e-03	3.47428	-1.301135	1.0114784	SWAP70	SWAP switching B-cell complex 70kDa subunit
201179_s_at	1.03e-02	1.18e-03	-3.473443	-1.303413	-0.4062995	GNAI3	G protein subunit alpha i3
208886_at	1.03e-02	1.18e-03	3.472987	-1.304654	1.5011331	H1F0	H1 histone family member 0
201891_s_at	1.03e-02	1.19e-03	-3.470737	-1.310775	-0.396836	B2M	beta-2-microglobulin
203441_s_at	1.03e-02	1.19e-03	3.470718	-1.310828	0.3142924	CDH2	cadherin 2
214470_at	1.03e-02	1.19e-03	-3.470694	-1.310893	-1.593787	KLRB1	killer cell lectin like receptor B1
209091_s_at	1.03e-02	1.19e-03	-3.470322	-1.311904	-0.4803613	SH3GLB1	SH3 domain containing GRB2 like endophilin B1
206991_s_at	1.03e-02	1.19e-03	-3.47011	-1.312481	-0.7254475	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)
208116_s_at	1.03e-02	1.19e-03	3.469757	-1.313441	1.2116625	MAN1A1	mannosidase alpha class 1A member 1
213357_at	1.03e-02	1.19e-03	3.469643	-1.313752	0.6632575	GTF2H5	general transcription factor IIH subunit 5
211241_at	1.03e-02	1.19e-03	-3.469611	-1.313838	-0.3027897	ANXA2P3	annexin A2 pseudogene 3
201445_at	1.03e-02	1.19e-03	3.46959	-1.313894	0.7898645	CNN3	calponin 3
209796_s_at	1.03e-02	1.19e-03	3.469404	-1.3144	0.7140944	CNPY2	canopy FGF signaling regulator 2
218133_s_at	1.03e-02	1.19e-03	3.469268	-1.31477	1.1255318	NIF3L1	NGG1 interacting factor 3 like 1
201299_s_at	1.03e-02	1.19e-03	-3.468996	-1.31551	-0.7304667	MOB1A	MOB kinase activator 1A
217788_s_at	1.03e-02	1.19e-03	3.468639	-1.316482	0.6682715	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2
210639_s_at	1.03e-02	1.19e-03	-3.468576	-1.316652	-0.6829823	ATG5	autophagy related 5
204045_at	1.03e-02	1.20e-03	3.468185	-1.317715	0.7845916	TCEAL1	transcription elongation factor A like 1
208751_at	1.04e-02	1.20e-03	-3.467759	-1.318875	-0.6634761	NAPA	NSF attachment protein alpha
208735_s_at	1.04e-02	1.20e-03	-3.467266	-1.320214	-0.6159732	CTDSP2	CTD small phosphatase 2
200005_at	1.04e-02	1.20e-03	3.467069	-1.320748	0.4148089	EIF3D	eukaryotic translation initiation factor 3 subunit D
211783_s_at	1.04e-02	1.20e-03	3.46696	-1.321046	0.8153191	MTA1	metastasis associated 1
40016_g_at	1.04e-02	1.20e-03	3.466314	-1.322802	1.2303281	MAST4	microtubule associated serine/threonine kinase family member 4
202562_s_at	1.04e-02	1.20e-03	3.466092	-1.323405	0.7437744	C14orf1	chromosome 14 open reading frame 1
211926_s_at	1.04e-02	1.21e-03	-3.465689	-1.324501	-0.5456565	MYH9	myosin, heavy chain 9, non-muscle
200849_s_at	1.04e-02	1.21e-03	3.465254	-1.325683	0.5907481	AHCYL1	adenosylhomocysteinase like 1
206834_at	1.04e-02	1.21e-03	3.465189	-1.325861	2.2930407	HBD	hemoglobin subunit delta
215054_at	1.04e-02	1.21e-03	3.464975	-1.326443	0.2926023	RGL3///EPOR	ral guanine nucleotide dissociation stimulator like 3///erythropoietin receptor
214728_x_at	1.04e-02	1.21e-03	3.464955	-1.326497	0.5915301	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
208768_x_at	1.04e-02	1.21e-03	3.464209	-1.328522	0.3079627	RPL22	ribosomal protein L22
211864_s_at	1.04e-02	1.21e-03	-3.462962	-1.331912	-1.5374564	MYOF	myoferlin
53987_at	1.05e-02	1.22e-03	3.462401	-1.333436	0.4349388	RANBP10	RAN binding protein 10
222143_s_at	1.05e-02	1.22e-03	-3.461397	-1.336161	-0.5086289	MTMR14	myotubularin related protein 14
213957_s_at	1.05e-02	1.22e-03	-3.461087	-1.337003	-0.3609361	CEP350	centrosomal protein 350
202090_s_at	1.05e-02	1.22e-03	-3.460553	-1.338454	-0.4288861	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
218320_s_at	1.05e-02	1.22e-03	3.460455	-1.338721	0.4719197	NDUFB11	NADH:ubiquinone oxidoreductase subunit B11
220377_at	1.05e-02	1.22e-03	3.460236	-1.339316	2.1391177	FAM30A	family with sequence similarity 30, member A
212335_at	1.05e-02	1.23e-03	-3.458844	-1.343096	-1.2455663	GNS	glucosamine (N-acetyl)-6-sulfatase
201337_s_at	1.05e-02	1.23e-03	-3.458842	-1.343101	-0.8850861	VAMP3	vesicle associated membrane protein 3
212635_at	1.05e-02	1.23e-03	3.458731	-1.343401	0.6057898	TNPO1	transportin 1
205418_at	1.05e-02	1.23e-03	-3.45854	-1.343919	-0.734524	FES	FES proto-oncogene, tyrosine kinase
209685_s_at	1.05e-02	1.23e-03	-3.458284	-1.344614	-0.9020068	PRKCB	protein kinase C beta
213532_at	1.06e-02	1.23e-03	-3.457774	-1.346	-0.7040442	ADAM17	ADAM metallopeptidase domain 17
212137_at	1.06e-02	1.23e-03	3.457668	-1.346287	0.5057819	LARP1	La ribonucleoprotein domain family member 1
210830_s_at	1.06e-02	1.24e-03	3.457136	-1.34773	1.0606123	PON2	paraoxonase 2
215785_s_at	1.06e-02	1.24e-03	3.456869	-1.348455	1.0929737	CYFIP2	cytoplasmic FMR1 interacting protein 2
214812_s_at	1.06e-02	1.24e-03	-3.455851	-1.351218	-0.3117492	MOB1A	MOB kinase activator 1A
200647_x_at	1.06e-02	1.24e-03	3.45584	-1.351249	0.5372417	EIF3CL///EIF3C	eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C
202033_s_at	1.06e-02	1.24e-03	-3.455257	-1.352831	-0.7070165	RB1CC1	RB1 inducible coiled-coil 1
215467_x_at	1.06e-02	1.24e-03	-3.455114	-1.353218	-0.3285289	LOC647070	nascent polypeptide-associated complex subunit alpha, muscle-specific form-like
204868_at	1.06e-02	1.24e-03	3.454991	-1.353551	0.5168581	MRPL58	mitochondrial ribosomal protein L58
203269_at	1.06e-02	1.24e-03	3.454713	-1.354306	0.485093	NSMAF	neutral sphingomyelinase activation associated factor
220419_s_at	1.06e-02	1.25e-03	-3.453991	-1.356266	-0.5035139	USP25	ubiquitin specific peptidase 25
218347_at	1.06e-02	1.25e-03	3.453907	-1.356494	0.4739374	TYW1	tRNA-yW synthesizing protein 1 homolog
209879_at	1.06e-02	1.25e-03	-3.453267	-1.358228	-0.85171	SELPLG	selectin P ligand
221024_s_at	1.07e-02	1.25e-03	3.452591	-1.360061	0.4480271	SLC2A10	solute carrier family 2 member 10
210150_s_at	1.07e-02	1.25e-03	-3.452376	-1.360645	-0.3168118	LAMA5	laminin subunit alpha 5
213702_x_at	1.07e-02	1.25e-03	-3.452204	-1.361112	-0.7226483	ASAH1	N-acylsphingosine amidohydrolase 1
211416_x_at	1.07e-02	1.25e-03	-3.451985	-1.361705	-0.5456857	GGTLC1	gamma-glutamyltransferase light chain 1
221246_x_at	1.07e-02	1.26e-03	3.451377	-1.363356	0.3067033	TNS1	tensin 1
202218_s_at	1.07e-02	1.26e-03	3.451004	-1.364366	0.7278004	FADS2	fatty acid desaturase 2
208450_at	1.07e-02	1.26e-03	-3.449611	-1.368142	-2.8254171	LGALS2	galectin 2
205068_s_at	1.08e-02	1.27e-03	-3.448531	-1.371071	-1.0258591	ARHGAP26	Rho GTPase activating protein 26
205425_at	1.08e-02	1.27e-03	-3.448505	-1.371141	-1.0711303	HIP1	huntingtin interacting protein 1
206207_at	1.08e-02	1.27e-03	3.448417	-1.371379	2.6896901	CLC	Charcot-Leyden crystal galectin
211661_x_at	1.08e-02	1.27e-03	-3.447351	-1.374268	-0.9353944	PTAFR	platelet activating factor receptor
216621_at	1.08e-02	1.27e-03	-3.446879	-1.375546	-0.8833185		
215541_s_at	1.08e-02	1.27e-03	-3.446687	-1.376068	-0.4560858	DIAPH1	diaphanous related formin 1
213022_s_at	1.08e-02	1.28e-03	-3.445586	-1.379051	-0.8424656	UTRN	utrophin
200068_s_at	1.08e-02	1.28e-03	3.445373	-1.379627	0.3495779	CANX	calnexin
200756_x_at	1.08e-02	1.28e-03	-3.444793	-1.381197	-0.4803943	CALU	calumenin
206205_at	1.09e-02	1.28e-03	3.444351	-1.382395	0.4777833	MPHOSPH9	M-phase phosphoprotein 9
208659_at	1.09e-02	1.28e-03	-3.444249	-1.382672	-0.3006973	CLIC1	chloride intracellular channel 1
219210_s_at	1.09e-02	1.28e-03	-3.443931	-1.383532	-0.532927	RAB8B	RAB8B, member RAS oncogene family
203241_at	1.09e-02	1.28e-03	-3.443632	-1.384342	-0.4635366	UVRAG	UV radiation resistance associated
214366_s_at	1.09e-02	1.29e-03	-3.442841	-1.386485	-1.3942113	ALOX5	arachidonate 5-lipoxygenase
221015_s_at	1.09e-02	1.29e-03	3.442306	-1.387933	0.4863934	CDADC1	cytidine and dCMP deaminase domain containing 1
203370_s_at	1.09e-02	1.29e-03	-3.440921	-1.391683	-0.5910526	PDLIM7	PDZ and LIM domain 7
202577_s_at	1.09e-02	1.30e-03	3.440713	-1.392247	0.4384573	DDX19A	DEAD-box helicase 19A
216958_s_at	1.09e-02	1.30e-03	3.44061	-1.392525	0.6032026	IVD	isovaleryl-CoA dehydrogenase
219922_s_at	1.10e-02	1.30e-03	3.439776	-1.394782	1.2562835	LTBP3	latent transforming growth factor beta binding protein 3
220132_s_at	1.10e-02	1.30e-03	-3.439534	-1.395437	-0.7146482	CLEC2D	C-type lectin domain family 2 member D
203598_s_at	1.10e-02	1.31e-03	-3.436909	-1.40254	-0.2742319	WBP4	WW domain binding protein 4
209380_s_at	1.10e-02	1.31e-03	3.436861	-1.402669	0.7056045	ABCC5	ATP binding cassette subfamily C member 5
213687_s_at	1.11e-02	1.31e-03	3.436383	-1.403962	0.4693334	RPL35A	ribosomal protein L35a
217197_x_at	1.11e-02	1.31e-03	3.435704	-1.405798	0.6031496	N4BP2L1	NEDD4 binding protein 2 like 1
213760_s_at	1.11e-02	1.32e-03	3.435555	-1.406202	0.4253652	ZNF330	zinc finger protein 330
215195_at	1.11e-02	1.32e-03	-3.434997	-1.407712	-0.3757072	PRKCA	protein kinase C alpha
204221_x_at	1.11e-02	1.32e-03	-3.434229	-1.409787	-1.0102858	GLIPR1	GLI pathogenesis related 1
202865_at	1.11e-02	1.32e-03	-3.433671	-1.411298	-0.4581736	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12
57540_at	1.12e-02	1.33e-03	-3.432637	-1.414092	-1.2078902	RBKS	ribokinase
212896_at	1.12e-02	1.33e-03	3.431752	-1.416486	0.6185702	SKIV2L2	Ski2 like RNA helicase 2
200030_s_at	1.12e-02	1.33e-03	3.431551	-1.417027	0.334297	SLC25A3	solute carrier family 25 member 3
209982_s_at	1.12e-02	1.34e-03	-3.430104	-1.420939	-1.2104597	NRXN2	neurexin 2
200785_s_at	1.12e-02	1.34e-03	-3.429985	-1.42126	-0.7206825	LRP1	LDL receptor related protein 1
221158_at	1.12e-02	1.34e-03	-3.429708	-1.42201	-0.5196407	PAXBP1	PAX3 and PAX7 binding protein 1
213333_at	1.12e-02	1.34e-03	3.429541	-1.42246	0.6769527	MDH2	malate dehydrogenase 2
207920_x_at	1.12e-02	1.34e-03	-3.42948	-1.422625	-0.5732875	ZFX	zinc finger protein, X-linked
212057_at	1.12e-02	1.34e-03	3.429156	-1.4235	0.8065687	GSE1	Gse1 coiled-coil protein
210968_s_at	1.12e-02	1.34e-03	-3.429023	-1.423859	-0.5164782	RTN4	reticulon 4
204023_at	1.12e-02	1.34e-03	3.428963	-1.424021	1.1593147	RFC4	replication factor C subunit 4
222013_x_at	1.13e-02	1.35e-03	3.427611	-1.427674	0.4702845	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase
209944_at	1.13e-02	1.35e-03	3.4264	-1.430945	0.486061	PTGR2///ZNF410	prostaglandin reductase 2///zinc finger protein 410
222320_at	1.13e-02	1.35e-03	-3.426378	-1.431005	-0.7958982		
212587_s_at	1.14e-02	1.36e-03	-3.42435	-1.436478	-0.8982349	PTPRC	protein tyrosine phosphatase, receptor type C
221865_at	1.14e-02	1.36e-03	3.424009	-1.4374	0.9483616	TMEM268	transmembrane protein 268
219590_x_at	1.14e-02	1.36e-03	3.423863	-1.437793	0.5039722	DPH5	diphthamide biosynthesis 5
212071_s_at	1.14e-02	1.36e-03	3.423192	-1.439606	1.1580405	SPTBN1	spectrin beta, non-erythrocytic 1
216231_s_at	1.14e-02	1.37e-03	-3.421623	-1.443839	-0.2720369	B2M	beta-2-microglobulin
203895_at	1.14e-02	1.37e-03	3.42117	-1.445062	1.0008486	PLCB4	phospholipase C beta 4
200084_at	1.14e-02	1.37e-03	3.421076	-1.445317	0.3676373	C11orf58	chromosome 11 open reading frame 58
203166_at	1.14e-02	1.37e-03	3.420947	-1.445665	0.4924883	CFDP1	craniofacial development protein 1
201147_s_at	1.14e-02	1.37e-03	3.420686	-1.446368	1.2599489	TIMP3	TIMP metallopeptidase inhibitor 3
209194_at	1.15e-02	1.38e-03	3.420036	-1.448122	0.5653407	CETN2	centrin 2
218352_at	1.15e-02	1.38e-03	3.419909	-1.448463	0.7777015	RCBTB1	RCC1 and BTB domain containing protein 1
206722_s_at	1.15e-02	1.38e-03	-3.419491	-1.449592	-0.6633743	LPAR2	lysophosphatidic acid receptor 2
217289_s_at	1.15e-02	1.38e-03	3.419427	-1.449765	0.5021389	SLC37A4	solute carrier family 37 member 4
205621_at	1.15e-02	1.38e-03	3.419332	-1.450021	0.4847969	ALKBH1	alkB homolog 1, histone H2A dioxygenase
202185_at	1.15e-02	1.38e-03	-3.417999	-1.453616	-0.441301	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
201339_s_at	1.16e-02	1.39e-03	-3.416133	-1.458647	-0.3614512	SCP2	sterol carrier protein 2
55692_at	1.16e-02	1.39e-03	-3.415879	-1.459332	-0.6383083	ELMO2	engulfment and cell motility 2
202857_at	1.16e-02	1.40e-03	3.41497	-1.461783	0.513605	CNPY2	canopy FGF signaling regulator 2
203031_s_at	1.16e-02	1.40e-03	3.414868	-1.462058	0.596175	UROS	uroporphyrinogen III synthase
218335_x_at	1.16e-02	1.40e-03	-3.414154	-1.463983	-0.3178358	TNIP2	TNFAIP3 interacting protein 2
200992_at	1.16e-02	1.40e-03	3.414041	-1.464287	0.5772331	IPO7	importin 7
205119_s_at	1.17e-02	1.41e-03	-3.411483	-1.471179	-1.8564152	FPR1	formyl peptide receptor 1
210916_s_at	1.17e-02	1.41e-03	-3.411461	-1.471239	-1.1448061	CD44	CD44 molecule (Indian blood group)
200728_at	1.17e-02	1.41e-03	-3.411125	-1.472143	-0.4959713	ACTR2	ARP2 actin related protein 2 homolog
210999_s_at	1.17e-02	1.41e-03	3.410873	-1.472822	0.8599541	GRB10	growth factor receptor bound protein 10
216730_at	1.17e-02	1.41e-03	-3.410631	-1.473473	-0.3461498		
202345_s_at	1.17e-02	1.42e-03	3.409607	-1.476232	1.1084419	FABP5	fatty acid binding protein 5
212807_s_at	1.18e-02	1.42e-03	-3.408875	-1.478202	-1.060441	SORT1	sortilin 1
52731_at	1.18e-02	1.42e-03	3.408158	-1.480132	0.3282282	AMBRA1	autophagy and beclin 1 regulator 1
220631_at	1.18e-02	1.42e-03	3.408139	-1.480185	0.6340526	OSGEPL1	O-sialoglycoprotein endopeptidase-like 1
203680_at	1.18e-02	1.43e-03	3.407109	-1.482957	1.3004431	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta
212693_at	1.18e-02	1.43e-03	3.406495	-1.48461	0.7732629	MDN1	midasin AAA ATPase 1
210112_at	1.19e-02	1.44e-03	-3.40482	-1.489119	-0.3716824	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1
211503_s_at	1.19e-02	1.44e-03	-3.404494	-1.489995	-0.5347524	RAB14	RAB14, member RAS oncogene family
201011_at	1.19e-02	1.44e-03	3.404453	-1.490106	0.6103555	RPN1	ribophorin I
200861_at	1.19e-02	1.44e-03	3.404439	-1.490144	0.4754537	CNOT1	CCR4-NOT transcription complex subunit 1
218139_s_at	1.19e-02	1.44e-03	3.403466	-1.492762	0.8431711	AP5M1	adaptor related protein complex 5 mu 1 subunit
203610_s_at	1.19e-02	1.45e-03	-3.4021	-1.496436	-0.8492922	TRIM38	tripartite motif containing 38
211972_x_at	1.20e-02	1.45e-03	3.401904	-1.496962	0.4357563	RPLP0	ribosomal protein lateral stalk subunit P0
220710_at	1.20e-02	1.45e-03	-3.4018	-1.497244	-0.625303	ANP32A-IT1	ANP32A intronic transcript 1
202016_at	1.20e-02	1.45e-03	3.401693	-1.497532	2.1311862	MEST	mesoderm specific transcript
202419_at	1.20e-02	1.45e-03	3.401203	-1.498849	0.6949941	KDSR	3-ketodihydrosphingosine reductase
219967_at	1.20e-02	1.45e-03	3.400899	-1.499666	0.2507561	MRM1	mitochondrial rRNA methyltransferase 1
214339_s_at	1.20e-02	1.46e-03	3.399372	-1.503773	0.6024192	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
205317_s_at	1.20e-02	1.46e-03	-3.398973	-1.504845	-0.4017568	SLC15A2	solute carrier family 15 member 2
221193_s_at	1.21e-02	1.47e-03	3.396922	-1.510357	0.7154962	ZCCHC10	zinc finger CCHC-type containing 10
210758_at	1.22e-02	1.48e-03	3.394491	-1.516889	0.5219532	PSIP1	PC4 and SFRS1 interacting protein 1
203556_at	1.22e-02	1.48e-03	3.394211	-1.517642	1.1170653	ZHX2	zinc fingers and homeoboxes 2
201131_s_at	1.22e-02	1.48e-03	3.394092	-1.51796	1.3708966	CDH1	cadherin 1
220702_at	1.23e-02	1.49e-03	-3.391398	-1.525195	-1.1618395		
201154_x_at	1.23e-02	1.49e-03	3.391202	-1.525721	0.3172472	SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4	small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4
218040_at	1.23e-02	1.50e-03	3.390656	-1.527188	0.4416757	PRPF38B	pre-mRNA processing factor 38B
203244_at	1.23e-02	1.50e-03	3.390621	-1.527282	0.5764193	PEX5	peroxisomal biogenesis factor 5
203494_s_at	1.23e-02	1.50e-03	3.389379	-1.530614	0.6080023	CEP57	centrosomal protein 57
210766_s_at	1.23e-02	1.50e-03	3.389359	-1.53067	0.8214937	CSE1L	chromosome segregation 1 like
218509_at	1.23e-02	1.50e-03	-3.389161	-1.5312	-0.424755	PLPPR2	phospholipid phosphatase related 2
211937_at	1.23e-02	1.50e-03	3.38914	-1.531257	0.5667597	EIF4B	eukaryotic translation initiation factor 4B
202835_at	1.23e-02	1.50e-03	-3.388997	-1.53164	-0.1578773	TXNL4A	thioredoxin like 4A
213161_at	1.23e-02	1.50e-03	3.388985	-1.531672	0.5866421	TSTD2///TMOD1	thiosulfate sulfurtransferase like domain containing 2///tropomodulin 1
213846_at	1.24e-02	1.51e-03	3.387512	-1.535625	0.38257	COX7C	cytochrome c oxidase subunit 7C
217728_at	1.24e-02	1.51e-03	-3.387312	-1.536163	-0.8825496	S100A6	S100 calcium binding protein A6
216757_at	1.24e-02	1.51e-03	-3.38715	-1.536597	-0.6423056		
220353_at	1.24e-02	1.51e-03	3.386846	-1.537411	0.2231679	FAM86C1	family with sequence similarity 86 member C1
203210_s_at	1.24e-02	1.51e-03	3.386493	-1.538358	1.1638454	RFC5	replication factor C subunit 5
208924_at	1.24e-02	1.52e-03	-3.386334	-1.538786	-0.730513	RNF11	ring finger protein 11
202996_at	1.24e-02	1.52e-03	-3.385984	-1.539724	-0.5770789	POLD4	DNA polymerase delta 4, accessory subunit
213064_at	1.24e-02	1.52e-03	3.384376	-1.544036	0.6692297	ZC3H14	zinc finger CCCH-type containing 14
219314_s_at	1.24e-02	1.53e-03	3.384167	-1.544599	0.343673	ZNF219	zinc finger protein 219
205865_at	1.24e-02	1.53e-03	-3.383883	-1.545358	-0.4291027	ARID3A	AT-rich interaction domain 3A
215719_x_at	1.24e-02	1.53e-03	-3.38377	-1.545662	-0.7955868	FAS	Fas cell surface death receptor
213682_at	1.24e-02	1.53e-03	3.383769	-1.545665	0.5756835	NUP50	nucleoporin 50
219335_at	1.24e-02	1.53e-03	3.383625	-1.546051	0.6324562	ARMCX5	armadillo repeat containing, X-linked 5
219644_at	1.25e-02	1.53e-03	3.383267	-1.547011	0.7085397	CEP83	centrosomal protein 83
216593_s_at	1.25e-02	1.53e-03	3.383192	-1.547213	0.4362625	PIGC	phosphatidylinositol glycan anchor biosynthesis class C
208948_s_at	1.25e-02	1.53e-03	3.382103	-1.550131	0.4013474	STAU1	staufen double-stranded RNA binding protein 1
200976_s_at	1.25e-02	1.54e-03	-3.381858	-1.550787	-0.6033204	TAX1BP1	Tax1 binding protein 1
203957_at	1.25e-02	1.54e-03	3.381829	-1.550866	0.5469909	E2F6	E2F transcription factor 6
205547_s_at	1.25e-02	1.54e-03	-3.381757	-1.551058	-0.6055275	TAGLN	transgelin
200058_s_at	1.25e-02	1.54e-03	3.381332	-1.552199	0.360368	LOC101929240///SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200
202034_x_at	1.25e-02	1.54e-03	-3.381243	-1.552436	-0.6263519	RB1CC1	RB1 inducible coiled-coil 1
212677_s_at	1.25e-02	1.54e-03	3.379689	-1.5566	1.3222369	CEP68	centrosomal protein 68
219690_at	1.26e-02	1.55e-03	-3.379191	-1.557935	-0.8139366	IGFLR1	IGF like family receptor 1
207608_x_at	1.26e-02	1.55e-03	-3.379132	-1.558094	-0.6273403	CYP1A2	cytochrome P450 family 1 subfamily A member 2
203976_s_at	1.26e-02	1.55e-03	3.377927	-1.561322	0.8743676	CHAF1A	chromatin assembly factor 1 subunit A
218057_x_at	1.26e-02	1.56e-03	3.376675	-1.564676	0.6511311	EMC8	ER membrane protein complex subunit 8
206213_at	1.26e-02	1.56e-03	-3.376463	-1.565243	-0.3901584	WNT10B	Wnt family member 10B
205831_at	1.26e-02	1.56e-03	-3.376241	-1.565836	-1.3902791	CD2	CD2 molecule
